DUID,REGION
ASVIEL2,VIC
VSSEL1V1,SA
STANV1,SA
DRXQDA01,QLD
SWAN_B_3,QLD
TORRA1,SA
LONSDALE,SA
TB2BL1,SA
TOMAGO3,NSW
ICSM,QLD
LNGS2,VIC
DRGBND02,SA
TUMUT3-1,NSW
MSTUART1,QLD
SWAN_D,QLD
LGAPWF1,SA
NEVERSF1,NSW
SNUG3,SA
CAPTL_WF,NSW
BRAEMAR2,QLD
CLARESF1,QLD
HDWF3,SA
LD02,NSW
VPNL1,NSW
KAREEYA3,QLD
PLANECRK,QLD
WANDBL1,QLD
BW02,NSW
JLA04,VIC
MOLNGSF1,NSW
SHEP1,VIC
GUTHNL1,NSW
MBPS2PV1,SA
WRWF1,NSW
PMATTAEP,NSW
LGAPWF2,SA
MURR1-6,VIC
YATSF1,VIC
ASNAES1,NSW
TORRA4,SA
CTHLWF1,TAS
TUMUT1-2,NSW
WSTWYSF1,NSW
CALL_B_1,QLD
DRXNDE01,NSW
ASSERDV1,VIC
STANNL1,QLD
BOWWBA1G,SA
CHBESSG1,QLD
OSB01,SA
WOOLNTH1,TAS
MURR2-4,SNOWY
TALWB1,NSW
TUMUT2-2,NSW
EILDON2,VIC
HUMENSW,NSW
WYB252B1,TAS
BHASZINC,SA
DALNTHL1,SA
LD04,NSW
TARONG#3,QLD
WARWSF1,QLD
URANQ11,NSW
MURR1-2,SNOWY
GEORGTN1,TAS
LIDDNL1,NSW
CESF1,NSW
RPCG,QLD
SNOWY1,SNOWY
BOWWDG1,SA
VP5,NSW
JEMALNG1,NSW
BLULAKE1,SA
EILDON3,VIC
JLA01,VIC
RT_QLD1,QLD
RACOMIL1,QLD
ASNBRL1,NSW
MM3,NSW
ASQEEV1,QLD
GUTHEGA,SNOWY
COLNSNL1,QLD
LOYYB2,VIC
WDLNGN01,NSW
COLNSV_5,QLD
BW01,NSW
METZSF1,NSW
SWAN_B_4,QLD
AS_NSW1,NSW
TVCC201,TAS
CHALLHWF,VIC
OAKEY1SF,QLD
MCKAY1,VIC
TREV_1,TAS
WAGGNSF1,NSW
MORNL1,VIC
RT_VIC4,VIC
HASTING3,VIC
RT_VIC1,VIC
MORNW,VIC
MURAYNL2,SNOWY
BBASEHOS,VIC
ASSDE1,SA
JLB03,VIC
HEZ,NSW
RIVNBL2,NSW
OAKEY2SF,QLD
VICMILL1,QLD
JACKSGUL,NSW
COLNSV_2,QLD
BOMENSF1,NSW
COHUNSF1,VIC
KEEPIT,NSW
PTH03,VIC
TUMUT2-4,NSW
SATGN1,SA
GSWF1A,SA
KRCCOGEN,QLD
POR03,SA
POATINA1,TAS
SNOWYP,NSW
THEDROP1,NSW
NPS2,SA
MACKAYGT,QLD
DG_SA1,SA
MURR1-7,VIC
SNOWY2,SNOWY
TIBL1,SA
YWPS1,VIC
DRYCGT2,SA
TORNL1,SA
DROZVP01,VIC
HWPS6,VIC
MURR2-1,VIC
PO110NL1,TAS
BERYLSF1,NSW
TYPHOONW,VIC
ASRMGE01,SA
SNWYGJP2,SNOWY
CORIO1,VIC
VBBL1,VIC
DRGBND01,VIC
RT_NSW4,NSW
CALLNL4,QLD
LRSF1,QLD
MURR1-6,SNOWY
CBWWBG1,SA
CROWLWF1,VIC
DRXVDJ01,VIC
DRGBND03,VIC
BULBESL1,VIC
TUMUT1-3,NSW
RT_VIC10,VIC
CROOKWF3,NSW
QPS2,SA
DRYCNL,SA
PORTWF,VIC
YWNL1,VIC
GSTONE2,QLD
LILYSF1,QLD
LYA2,VIC
DRXVQX01,VIC
OAKLAND1,VIC
BBATRYL1,QLD
DRXVDP01,VIC
LYGS2,VIC
BULGANA1,VIC
SLDCBLK1,TAS
ASPAPM01,SA
TUMUT2-3,NSW
TARONG#4,QLD
WALGRVG1,NSW
MLSP1,NSW
LIMOSF21,NSW
PIONEER,QLD
CSPVPS1,QLD
YSWF1,VIC
DRXNQX01,NSW
VSNEL2S1,NSW
WHITSF1,QLD
WYANGALA,NSW
VALDORA1,QLD
YWPS2,VIC
QBYNBL1,NSW
SNOWYGJP,SNOWY
TREV_2,TAS
WARWSF2,QLD
HWPS8,VIC
PEDLER1,SA
GOONSF1,NSW
SUNRSF1,NSW
DRSHVN01,NSW
GRANWF1,TAS
NEWENSF2,NSW
GSTONE3,QLD
HWPS1,VIC
RT_SA3,SA
APD01,VIC
MORANBAH,QLD
SWANNL2,QLD
VPGS6,VIC
NUMURSF1,VIC
TUMUT3-2,NSW
QPS4,SA
CPP_4,QLD
TUNGATIN,TAS
WILGB01,NSW
MURR1-7,SNOWY
PTH01,VIC
MWPS4PV1,SA
DRVIOT02,VIC
BLUEGSF1,QLD
CBWWPV2,SA
BANGOWF1,NSW
MURR1-5,VIC
AGLNOW1,NSW
MURAYNL2,VIC
PLEYSTOW,QLD
MINTNL1,SA
RT_VIC9,VIC
TUMUT3-3,SNOWY
BLNKTAS,TAS
DARTM1,VIC
CBWWDG2,SA
BDL01,VIC
CLAYTON,VIC
DLNKQLD,QLD
GANNBG1,VIC
OAKYCREK,QLD
DRYCGT3,SA
VSVEL2S1,VIC
YWPS4,VIC
LNGS1,VIC
BOLIVPS1,SA
BARCSF1,QLD
BLUFF1,SA
UWS1,NSW
YAMBUKWF,VIC
ER04,NSW
LYNL1,VIC
GORDON1,TAS
SHPUMP,NSW
SWAN_B_2,QLD
TUMUT1-4,SNOWY
CHYTWF1,VIC
DRSHVS01,SA
HDWF2,SA
CODRNGTON,VIC
SMCSF1,QLD
MURR1-8,VIC
TATURA01,VIC
WYNDW,VIC
DRFIIN02,TAS
VICSMLT,VIC
COLEASF1,NSW
RUBICON,VIC
GSTONE6,QLD
SNOWSTH1,SA
PUMP1,QLD
PALOONA,TAS
APS,VIC
GRIFSF1,NSW
MORTLK11,VIC
BHBG1,NSW
KARSF1,VIC
VP6,NSW
STANV2,SA
PLAYFB1,SA
LYGS6,VIC
DDPS1,QLD
MURR1-10,VIC
MURR2-1,SNOWY
BERWICK,VIC
WANDBG1,QLD
CALL_A_2,QLD
COLNSV_1,QLD
MURR2-2,VIC
SUNSHINE,VIC
CBWWPV1,SA
DRAESN1,NSW
MURR1-9,VIC
WOYWOY1,NSW
TRIBNL1,TAS
TARNL1,QLD
MOR3,VIC
GLRWNSF1,VIC
GSTONE5,QLD
SALTCRK1,VIC
SAPHWF1,NSW
MORTLK12,VIC
CBWWDG1,SA
OSB02,SA
SNOWYGJP,VIC
CHBESSL1,QLD
CPSA,QLD
WILGAPK,NSW
BELLBAY1,TAS
TNPS1,QLD
WHILL1,QLD
WKIEWA2,VIC
BDL02,VIC
MURR1-8,SNOWY
DG_QLD1,QLD
GORDON2,TAS
MM4,NSW
EMERASF1,QLD
TUMUT1-3,SNOWY
TB2SF1,SA
TUMUT2-4,SNOWY
WIVENSH,QLD
PTSTAN1,SA
SHGEN2,NSW
HVGTS,NSW
MWPS2PV1,SA
YABULU2,QLD
