distributor,time_start,time_end,usage
SA Power Networks,15:30:00,16:00:00,0.1635
SA Power Networks,16:00:00,16:30:00,0.1513
SA Power Networks,16:30:00,17:00:00,0.1464
SA Power Networks,17:00:00,17:30:00,0.1488
SA Power Networks,17:30:00,18:00:00,0.1573
SA Power Networks,18:00:00,18:30:00,0.1758
SA Power Networks,18:30:00,19:00:00,0.1892
SA Power Networks,19:00:00,19:30:00,0.2113
SA Power Networks,19:30:00,20:00:00,0.2167
SA Power Networks,20:00:00,20:30:00,0.2108
SA Power Networks,20:30:00,21:00:00,0.2061
SA Power Networks,21:00:00,21:30:00,0.2056
SA Power Networks,21:30:00,22:00:00,0.2101
SA Power Networks,22:00:00,22:30:00,0.2151
SA Power Networks,22:30:00,23:00:00,0.2231
SA Power Networks,23:00:00,23:30:00,0.2258
SA Power Networks,23:30:00,00:00:00,0.2265
