planId,distributor,brandName,displayName,planType,effectiveFrom,effectiveTo,dmoPrice,annualUsage,supplyCharge,demandCharge,estimatedCharge,differenceDmoPrice
OVO704364MRE3@EME,Endeavour,OVO Energy,The Basic Plan Telsa Giveaway,MARKET,2024-02-01 00:00:00+00:00,,2228.0,4913,315.126,1377.35955,1692.4855499999999,-535.5144500000001
OVO404814SRE4@EME,Energex,OVO Energy,Basic Standing Offer,STANDING,2023-07-01 00:00:00+00:00,,1969.0,4613,387.96,1383.8999999999999,1771.86,-197.1400000000001
OVO404811SRE4@EME,Endeavour,OVO Energy,Basic Standing Offer,STANDING,2023-07-01 00:00:00+00:00,,2228.0,4913,313.69859999999994,1704.8110000000001,2018.5096,-209.4903999999999
OVO404829SRE4@EME,SA Power Networks,OVO Energy,Basic Standing Offer,STANDING,2023-07-01 00:00:00+00:00,,2279.0,4011,420.9,1624.4550000000002,2045.355,-233.64499999999998
OVO404796SRE4@EME,Ausgrid,OVO Energy,Basic Standing Offer,STANDING,2023-07-01 00:00:00+00:00,,1827.0,3911,329.4,1290.63,1620.0300000000002,-206.9699999999998
PAC704557MRE1@EME,Energex,Pacific Blue Retail,Green100,MARKET,2024-01-30 00:00:00+00:00,,1969.0,4613,373.32,1746.0205,2119.3405000000002,150.34050000000025
PAC703852MRE1@EME,SA Power Networks,Pacific Blue Retail,Green100,MARKET,2024-01-30 00:00:00+00:00,,2279.0,4011,329.4,1776.8729999999998,2106.2729999999997,-172.72700000000032
PAC702552MRE1@EME,SA Power Networks,Pacific Blue Retail,Blue First,MARKET,2024-01-30 00:00:00+00:00,,2279.0,4011,329.4,1399.839,1729.239,-549.761
PAC704541MRE1@EME,Ausgrid,Pacific Blue Retail,Green100,MARKET,2024-01-30 00:00:00+00:00,,1827.0,3911,292.8,1417.7375,1710.5375,-116.46250000000009
PAC702427MRE1@EME,Ausgrid,Pacific Blue Retail,Blue First,MARKET,2024-01-30 00:00:00+00:00,,1827.0,3911,259.86,1106.813,1366.6730000000002,-460.32699999999977
PAC702547MRE1@EME,Energex,Pacific Blue Retail,Blue First,MARKET,2024-01-30 00:00:00+00:00,,1969.0,4613,355.02,1416.191,1771.211,-197.789
PAC704542MRE1@EME,Endeavour,Pacific Blue Retail,Green100,MARKET,2024-01-30 00:00:00+00:00,,2228.0,4913,366.0,1768.6799999999998,2134.68,-93.32000000000016
PAC702428MRE1@EME,Endeavour,Pacific Blue Retail,Blue First,MARKET,2024-01-30 00:00:00+00:00,,2228.0,4913,329.4,1382.5182,1711.9182,-516.0817999999999
PAC697281MRE1@EME,SA Power Networks,Pacific Blue Retail,Blue Home,MARKET,2024-01-09 00:00:00+00:00,,2279.0,4011,329.4,1500.114,1829.5140000000001,-449.4859999999999
PAC694071MRE1@EME,Energex,Pacific Blue Retail,Blue Home,MARKET,2024-01-09 00:00:00+00:00,,1969.0,4613,366.0,1416.191,1782.191,-186.80899999999997
PAC694021MRE1@EME,Ausgrid,Pacific Blue Retail,Blue Home,MARKET,2024-01-09 00:00:00+00:00,,1827.0,3911,259.86,1196.766,1456.6260000000002,-370.3739999999998
PAC694022MRE1@EME,Endeavour,Pacific Blue Retail,Blue Home,MARKET,2024-01-09 00:00:00+00:00,,2228.0,4913,336.72,1464.0739999999998,1800.7939999999999,-427.20600000000013
PSH710711MRE1@EME,Energex,Powershop,Switch Saver,MARKET,2024-02-22 00:00:00+00:00,,1969.0,4613,404.7594,1205.672132,1610.431532,-358.56846799999994
PSH710707MRE1@EME,Energex,Powershop,Switch Saver,MARKET,2024-02-22 00:00:00+00:00,,1969.0,4613,404.7594,1205.672132,1610.431532,-358.56846799999994
PSH709291MRE1@EME,Essential Energy,Powershop,Power Offset,MARKET,2024-02-22 00:00:00+00:00,,2527.0,4613,725.9609999999999,1557.1458280000002,2283.106828,-243.89317200000005
PSH709312MRE1@EME,Energex,Powershop,Power Offset,MARKET,2024-02-22 00:00:00+00:00,,1969.0,4613,484.1814,1233.9775,1718.1589,-250.8411000000001
PSH709292MRE1@EME,Energex,Powershop,Power House,MARKET,2024-02-22 00:00:00+00:00,,1969.0,4613,404.7594,1205.672132,1610.431532,-358.56846799999994
PSH709289MRE1@EME,Energex,Powershop,Power House,MARKET,2024-02-22 00:00:00+00:00,,1969.0,4613,404.7594,1205.672132,1610.431532,-358.56846799999994
PSH709276MRE1@EME,SA Power Networks,Powershop,Power House,MARKET,2024-02-22 00:00:00+00:00,,2279.0,4011,390.96119999999996,1500.479001,1891.440201,-387.5597990000001
PSH709254MRE1@EME,SA Power Networks,Powershop,Power Offset,MARKET,2024-02-22 00:00:00+00:00,,2279.0,4011,489.19559999999996,1500.7316939999998,1989.9272939999998,-289.07270600000015
PSH709280MRE1@EME,Ausgrid,Powershop,Power Offset,MARKET,2024-02-22 00:00:00+00:00,,1827.0,3911,455.487,1146.998525,1602.485525,-224.51447499999995
PSH709250MRE1@EME,Energex,Powershop,Power Offset,MARKET,2024-02-22 00:00:00+00:00,,1969.0,4613,484.1814,1233.9775,1718.1589,-250.8411000000001
PSH709233MRE1@EME,Endeavour,Powershop,Power Offset,MARKET,2024-02-22 00:00:00+00:00,,2228.0,4913,454.4622,1501.633885,1956.096085,-271.9039150000001
PSH709155MRE1@EME,Essential Energy,Powershop,Power House,MARKET,2024-02-22 00:00:00+00:00,,2527.0,4613,553.758,1374.2127,1927.9707,-599.0292999999999
PSH709148MRE1@EME,Ausgrid,Powershop,Power House,MARKET,2024-02-22 00:00:00+00:00,,1827.0,3911,322.2264,972.2746,1294.501,-532.499
PSH709147MRE1@EME,Endeavour,Powershop,Power House,MARKET,2024-02-22 00:00:00+00:00,,2228.0,4913,356.81339999999994,1242.0064000000002,1598.8198000000002,-629.1801999999998
PSH577358SRE2@EME,SA Power Networks,Powershop,Standing Offer,STANDING,2023-08-01 00:00:00+00:00,,2279.0,4011,420.2778,1649.4074310000003,2069.6852310000004,-209.31476899999961
PSH577371SRE2@EME,Ausgrid,Powershop,Standing Offer,STANDING,2023-08-01 00:00:00+00:00,,1827.0,3911,413.1042,1246.380946,1659.485146,-167.514854
PSH577378SRE2@EME,Energex,Powershop,Standing Offer,STANDING,2023-08-01 00:00:00+00:00,,1969.0,4613,449.814,1338.7756339999999,1788.589634,-180.41036600000007
PSH577336SRE2@EME,Endeavour,Powershop,Standing Offer,STANDING,2023-08-01 00:00:00+00:00,,2228.0,4913,451.644,1572.282825,2023.926825,-204.073175
PSH577304SRE2@EME,Essential Energy,Powershop,Standing Offer,STANDING,2023-08-01 00:00:00+00:00,,2527.0,4613,659.2392,1636.041967,2295.281167,-231.7188329999999
REA392097MRE3@EME,Energex,ReAmped Energy,ReAmped Classic | Anytime,MARKET,2023-08-08 00:00:00+00:00,,1969.0,4613,287.127,1502.4541,1789.5810999999999,-179.41890000000012
REA391952MRE3@EME,Energex,ReAmped Energy,ReAmped Advance | Anytime,MARKET,2023-08-08 00:00:00+00:00,,1969.0,4613,287.127,1502.4541,1789.5810999999999,-179.41890000000012
REA392074MRE3@EME,Energex,ReAmped Energy,ReAmped Solar | Anytime,MARKET,2023-08-08 00:00:00+00:00,,1969.0,4613,287.127,1502.4541,1789.5810999999999,-179.41890000000012
REA391944MRE3@EME,Energex,ReAmped Energy,ReAmped Handshake | Anytime,MARKET,2023-08-08 00:00:00+00:00,,1969.0,4613,287.127,1502.4541,1789.5810999999999,-179.41890000000012
