,notice_date,region,type,reference
258,2012-11-29 15:28:27,VIC,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the Victorian Region - 29 November 2012
165,2012-12-02 08:14:29,SA,LOR2,Actual LOR2 South Australia Region - 02 Dec 2012
399,2012-12-03 07:33:28,SA,LOR2,Actual LOR2 South Australia Region - 03 Dec 2012
88,2012-12-11 10:42:41,SA,LOR2,Actual LOR2 South Australia Region
477,2012-12-12 14:08:35,SA,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the South Australia Region
10,2012-12-12 16:21:31,SA,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the South Australia Region
556,2012-12-13 08:20:32,SA,LOR2,"Actual LOR2 South Australia Region - Thursday, 13 December 2012."
243,2013-01-07 21:42:09,SA,LOR2,Actual LOR2 South Australia Region -  7 Jan 2013
186,2013-01-29 13:52:31,QLD,,Actual LACK OF RESERVE LEVEL 1 in the QLD Region
420,2013-01-29 16:23:20,QLD,LOR2,Actual declaration of LACK OF RESERVE LEVEL 2 (LOR2) in the QLD Region
65,2013-02-11 07:26:54,SA,LOR2,Actual LOR2 South Australia Region -  11 February 2013
608,2013-02-11 13:08:41,SA,LOR2,Actual LOR2 South Australia Region -  11 February 2013
378,2013-02-15 11:15:03,SA,LOR2,Actual LOR2 South Australia Region -  Friday 15th February 2013
298,2013-03-06 08:24:23,SA,LOR2,Actual LOR2 South Australia Region -  Wednesday 6th March 2013
220,2013-03-06 17:03:04,SA,LOR2,Actual LOR2 South Australia Region -  Wednesday 6th March 2013
454,2013-03-07 07:04:05,SA,LOR2,Actual LOR2 South Australia Region -  7 Mar 2013
145,2013-03-07 18:32:51,SA,LOR2,Actual LOR2 South Australia Region -  Thursday 7th March 2013
534,2013-03-08 06:41:51,SA,LOR2,Actual LOR2 South Australia Region -  8 Mar 2013
66,2013-03-08 17:22:38,SA,LOR2,Actual LOR2 South Australia Region -  8 Mar 2013
609,2013-03-11 09:24:17,SA,LOR2,Actual LOR2 South Australia Region -  11 March 2013
379,2013-03-11 19:49:45,SA,LOR2,Actual LOR2 South Australia Region -  11 March 2013
299,2013-03-12 07:36:03,SA,LOR2,Actual LOR2 South Australia Region -  12 March 2013
221,2013-03-12 18:31:34,SA,LOR2,Actual LOR2 South Australia Region -  12 March 2013
455,2013-03-12 19:56:13,SA,LOR2,Actual LOR2 South Australia Region -  12 March 2013
146,2013-03-14 02:04:28,SA,LOR2,Actual LOR2 South Australia Region -  14 March 2013
535,2013-03-14 05:30:46,SA,LOR2,Actual LOR2 South Australia Region - 14 March 2013
67,2013-03-15 01:57:42,SA,LOR2,Actual LOR2 South Australia Region - 15 March 2013
610,2013-03-15 05:48:30,SA,LOR2,Actual LOR2 South Australia Region - 15 March 2013
380,2013-03-16 01:07:31,SA,LOR2,Actual LOR2 South Australia Region - 16 March 2013
300,2013-03-17 16:07:37,SA,LOR2,Actual LOR2 South Australia Region - 17 Mar 2013
222,2013-03-18 06:54:55,SA,LOR2,Actual LOR2 South Australia Region - 18 Mar 2013
456,2013-03-18 23:34:21,SA,LOR2,Actual LOR2 South Australia Region - 18 Mar 2013
147,2013-03-19 11:01:19,SA,LOR2,Actual LOR2 South Australia Region - 19 Mar 2013
536,2013-03-20 11:10:11,SA,LOR2,Actual LOR2 South Australia Region - 20 Mar 2013
68,2013-03-20 23:40:07,SA,LOR2,Actual LOR2 South Australia Region - 20 Mar 2013
611,2013-03-21 07:09:25,SA,LOR2,Actual LOR2 South Australia Region - 21 Mar 2013
381,2013-03-21 22:03:37,SA,LOR2,Actual LOR2 South Australia Region - 21 Mar 2013
301,2013-03-24 17:00:12,SA,LOR2,Actual LOR2 South Australia Region - 24 March 2013
764,2013-04-09 07:49:52,TAS,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the Tasmania Region 9 April 2013
690,2013-04-23 19:13:46,,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the South Austrailian Region 23 April 2013
836,2013-04-26 17:38:50,SA,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the South Australia Region 26 April 2013
1122,2013-05-01 08:24:42,SA,LOR2,Actual LOR2 South Australia Region -  1 May 2013
978,2013-05-06 10:32:31,TAS,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the Tasmania Region 6 May 2013
907,2013-05-06 12:10:41,TAS,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the Tasmania Region 6 May 2013
1192,2013-05-07 07:21:28,TAS,LOR1,Actual LACK OF RESERVE LEVEL 1 (LOR1) in the Tasmania Region 7 May 2013
